"year_split","EmpiricalStudyData","n","prop","available"
"Post-RC (2018-2019)","Primary",106,75.7," Not available"
"Post-RC (2018-2019)","Primary",34,24.3," Available"
"Post-RC (2018-2019)","Secondary",43,89.6," Not available"
"Post-RC (2018-2019)","Secondary",5,10.4," Available"
"Pre-RC (2008-09)","Primary",105,85.4," Not available"
"Pre-RC (2008-09)","Primary",18,14.6," Available"
"Pre-RC (2008-09)","Secondary",48,98," Not available"
"Pre-RC (2008-09)","Secondary",1,2," Available"
"Post-RC (2018-2019)","Primary",5,3.6," Available"
"Post-RC (2018-2019)","Secondary",20,41.7," Available"
"Pre-RC (2008-09)","Primary",8,6.5," Available"
"Pre-RC (2008-09)","Secondary",17,32.7," Available"
"Post-RC (2018-2019)","Primary",135,96.4," Not available"
"Post-RC (2018-2019)","Secondary",28,58.3," Not available"
"Pre-RC (2008-09)","Primary",116,93.5," Not available"
"Pre-RC (2008-09)","Secondary",35,67.3," Not available"
"Post-RC (2018-2019)","Primary",5,3.6," Available"
"Post-RC (2018-2019)","Secondary",4,8.3," Available"
"Pre-RC (2008-09)","Primary",1,0.8," Available"
"Pre-RC (2008-09)","Secondary",2,3.8," Available"
"Post-RC (2018-2019)","Primary",135,96.4," Not available"
"Post-RC (2018-2019)","Secondary",44,91.7," Not available"
"Pre-RC (2008-09)","Primary",123,99.2," Not available"
"Pre-RC (2008-09)","Secondary",50,96.2," Not available"
"Post-RC (2018-2019)","Primary",1,0.7," Available"
"Post-RC (2018-2019)","Secondary",3,6.2," Available"
"Post-RC (2018-2019)","Primary",139,99.3," Not available"
"Post-RC (2018-2019)","Secondary",45,93.8," Not available"
"Pre-RC (2008-09)","Primary",124,100," Not available"
"Pre-RC (2008-09)","Secondary",52,100," Not available"
